"comuna","team","total_dogs","walked_km","dogs_per_km","dogs_per_km_lcl","dogs_per_km_ucl","encounter_rate","effort_flag","region","macrozona","pop_total","pop_urban","pop_rural","dwellings_urban","dwellings_rural","area_km2","human_density_km2","owned_dogs_total","owned_dog_density_km2","human_dog_ratio","pct_urban_pop","dogs_per_urban_dwelling","dogs_per_rural_dwelling","bites_public_total","bites_ownerless_public_total","bites_public_summer","bites_ownerless_public_summer","bite_pop_2022","bites_public_inc","bites_ownerless_public_inc","bites_public_summer_inc","bites_ownerless_public_summer_inc","log_km","low_effort"
"PUTAENDO","Municipality",18,0.346955697796192,51.8798224509157,30.7472707557784,81.9924862114204,1,"low-effort",5,"Centro",17768,7436,10332,2449,3863,1451.291,12.2,6952,4.79,2.555670089,41.8505177847816,0.98325847284606,1.17628785917681,317,133,74,38,17862,295.78621281678,124.09957824805,69.0478856417721,35.4570223565857,-1.05855817924313,TRUE
"SAN ANTONIO","Municipality",61,1.45365829115809,41.9630943331277,32.0984421475076,53.9033501830828,0.808510638297872,"ok",5,"Centro",97323,92224,5099,29979,2431,398.337,244.3,32111,80.61,3.030785477,94.7607451476013,0.996330764868742,0.922665569724393,1925,1192,473,260,97758,328.191384166343,203.222924637029,80.6413115380156,44.3271479912982,0.37408333853278,FALSE
"SAN PEDRO DE LA PAZ","Municipality",38,1.06750766125792,35.596934222675,25.190509277946,48.8595733896635,0.875,"ok",8,"Centro sur",148070,147847,223,47445,44,91.681,1615.1,47982,523.36,3.085961164,99.8493955561559,1.00925281905364,2.22727272727273,265,152,64,42,150023,29.4399303217951,16.8862996562749,7.11002090790523,4.66595122081281,0.0653266429173009,FALSE
"MULCHEN","University",23,0.687106466962612,33.4737061953042,21.2194583198968,50.2269947296405,0.777777777777778,"low-effort",8,"Centro sur",31078,25985,5093,8250,2415,1919.283,16.2,10656,5.55,2.91653956,83.6122015573718,1.02012121212121,0.927536231884058,771,411,221,125,31098,413.209852723648,220.271400090038,118.442772311188,66.992518275559,-0.375266025022273,TRUE
"HUALAÑE","Municipality",356,12.9732567288531,27.4410664523612,24.6642420227745,30.4449609833906,0.981132075471698,"ok",7,"Centro sur",10232,6273,3959,2421,1901,631.602,16.2,3773,5.97,2.712011834,61.307662236122,0.839322593969434,0.915833771699106,4,1,0,0,10232,6.51550690643732,1.62887672660933,0,0,2.5628900638676,FALSE
"EL TABO","University",255,12.2913708296661,20.7462620348691,18.2778254655489,23.455119458074,0.91358024691358,"ok",5,"Centro",14587,13777,810,19510,1058,98.999,147.3,4818,48.67,3.02744925,94.4471104408035,0.228703229113275,0.33648393194707,269,171,80,52,14804,302.846077636675,192.515536341529,90.0657479960371,58.5427361974241,2.50889745760728,FALSE
"PADRE HURTADO","University",37,1.84018050189764,20.1067232056012,14.1569886977072,27.7144693628363,0.822222222222222,"ok",13,"RM",76219,67088,9131,18404,2383,81.034,940.6,25744,317.69,2.96066438,88.0200474947192,1.1806129102369,1.68527066722619,905,648,263,199,78091,193.150725862562,138.300188241923,56.1310949191755,42.4718170681214,0.609863665666928,FALSE
"VALPARAISO","University",90,4.78601123543774,18.8048033263274,15.1212825400914,23.1142958818793,0.830985915492958,"ok",5,"Centro",317424,316126,1298,115611,1224,316.941,1001.5,102956,324.84,3.083111955,99.5910832199204,0.88559912119089,0.466503267973856,4326,3287,1078,761,318638,226.275585460617,171.929692420029,56.385825503131,39.8048359998912,1.56569733704668,FALSE
"PAPUDO","Municipality",44,2.75572550120575,15.9667572044996,11.6014702277697,21.4346262915022,1,"ok",5,"Centro",6270,5791,479,5385,429,166.488,37.7,2086,12.53,3.005438406,92.3604465709729,0.348375116063138,0.491841491841492,35,20,13,8,6331,92.1392091823303,52.6509766756173,34.2231348391513,21.0603906702469,1.01368074775763,FALSE
"NUEVA IMPERIAL","Municipality",111,8.15305963742059,13.6145207978777,11.1998846974054,16.3953948989862,0.916666666666667,"ok",9,"Sur",33898,20612,13286,6460,5652,729.194,46.5,12519,17.17,2.707740582,60.8059472535253,1.03343653250774,1.03379334748762,420,285,129,90,33993,205.924749213073,139.734651251728,63.2483158297296,44.12673197423,2.09839327243638,FALSE
"SAN VICENTE","University",127,9.42759843873913,13.4710871305402,11.230238383497,16.028037896713,0.933333333333333,"ok",6,"Centro sur",51100,28766,22334,9463,8101,484.232,105.5,19139,39.52,2.669921317,56.293542074364,0.98457148895699,1.21256634983335,603,408,134,92,51518,195.077448658721,131.99270158003,43.3505441463825,29.7630601602029,2.24364139175475,FALSE
"SAN JAVIER","Municipality",119,8.87282489768744,13.4117376790582,11.1105126398838,16.0491437070174,1,"ok",7,"Centro sur",49994,36955,13039,12020,5849,1309.994,38.2,17703,13.51,2.823983974,73.9188702644317,0.995757071547421,0.980509488801505,645,473,166,122,50496,212.888149556401,156.11797634136,54.7898183354457,40.2672158850866,2.18299322337328,FALSE
"ILLAPEL","University",99,7.43777982432511,13.3104235858425,10.8180554889572,16.2049631207108,0.689655172413793,"ok",4,"Centro",32899,22116,10783,7867,4418,2627.779,12.5,11905,4.53,2.763414392,67.2239277789598,0.910512266429389,1.07333635129018,316,203,90,46,32949,159.842989670906,102.683945896183,45.5249021214604,23.2682833065242,2.00657239360267,FALSE
"YERBAS BUENAS","Municipality",40,3.09759187023998,12.9132570317926,9.22542014535151,17.5841909604974,0.931034482758621,"ok",7,"Centro sur",19366,7496,11870,2295,4516,259.696,74.6,7648,29.45,2.532087192,38.7070122895797,1.05795206971678,1.15589016829052,78,29,21,5,19515,66.6154240327953,24.7672730378341,17.9349218549833,4.27021948928175,1.13062499356155,FALSE
"LOS ANDES","Municipality",55,4.31261849080832,12.7532727778318,9.60751039298923,16.6001375100864,0.977272727272727,"ok",5,"Centro",68401,64630,3771,22069,1512,1234.08,55.4,22590,18.31,3.027872338,94.4869227058084,0.948479768000362,1.09722222222222,775,495,213,118,68602,188.28411222219,120.258884580624,51.7477624559051,28.6677745060883,1.46154525810948,FALSE
"LONCOCHE","University",197,16.3003144060622,12.0856564537635,10.4568314594036,13.8962802934325,0.879518072289157,"ok",9,"Sur",24766,17811,6955,6614,3447,972.493,25.5,8827,9.08,2.805597786,71.9171444722603,0.872240701542183,0.88743835219031,107,89,26,21,24778,71.9724486775903,59.8649339467808,17.4886323889472,14.1254338526112,2.79118439634217,FALSE
"IQUIQUE","Municipality",22,1.884679850534,11.6730700939826,7.31545088059551,17.6731684045371,1,"ok",1,"Norte",227127,223328,3799,65262,1463,2288.734,99.2,74001,32.33,3.06924854,98.3273675080462,1.1083019214857,1.14217361585783,2618,2317,692,636,229072,190.478685013155,168.57872924961,50.3480710577169,46.273660683104,0.633757965909917,FALSE
"SIERRA GORDA","Municipality",47,4.28506347771246,10.9683322649611,8.05911799129317,14.5855567054545,0.93939393939394,"ok",2,"Norte",1772,NA,1772,NA,527,12891.348,0.1,779,0.06,2.273737412,0,NA,1.47817836812144,11,3,3,2,1784,102.765321375187,28.0269058295964,28.0269058295964,18.6846038863976,1.45513536587525,FALSE
"ARICA","Municipality",52,4.844384509323,10.7340777553735,8.01672268700417,14.0763148774915,1,"ok",15,"Norte",250795,232605,18190,66182,6232,4795.407,52.3,83335,17.38,3.009492393,92.7470643354134,1.13830044422955,1.28369704749679,3116,2659,829,696,253125,205.168724279835,175.078189300412,54.5843621399177,45.8271604938272,1.5778202010135,FALSE
"LONQUIMAY","University",44,4.24598064496089,10.3627415382166,7.52958386564638,13.9114968294567,0.795454545454545,"ok",9,"Sur",11071,3868,7203,1571,3200,3932.8,2.8,4421,1.12,2.504380075,34.9381266371602,0.797581158497772,0.99,59,40,10,7,11088,88.6844636844637,60.1250601250601,15.031265031265,10.5218855218855,1.44597280485355,FALSE
"QUINTA NORMAL","Municipality",97,12.0727467763492,8.03462557419203,6.51554008639772,9.80156182553486,0.747826086956522,"ok",13,"RM",138904,138904,NA,38951,NA,11.721,11850.9,44987,3838.18,3.087624777,100,1.15496392903905,NA,1517,1045,383,253,140055,180.52431782752,124.355907798127,45.5773327145288,30.1072197827044,2.49095057975351,FALSE
"QUILLOTA","Municipality",34,4.82856460134744,7.04143007437698,4.87639502182524,9.83969274884396,0.743589743589744,"ok",5,"Centro",98561,85531,13030,28549,4519,301.426,327,33432,110.91,2.948114053,86.7797607572975,0.970296682896073,1.26820092940916,985,642,243,160,99401,165.155950812031,107.644792305912,40.744056900836,26.8273625684517,1.57454923951053,FALSE
"VIÑA DEL MAR","Municipality",5,0.845380799616614,5.91449439384895,1.92042023056909,13.8024569337443,0.4,"low-effort",5,"Centro",364472,364472,NA,146844,NA,120.575,3022.8,118043,979,3.087624777,100,0.8038666884585,NA,6395,4251,1674,1014,366981,290.43283803067,193.061766140481,76.0257343023208,46.0514304555277,-0.167968102703511,TRUE
"EL QUISCO","Municipality",84,19.1598088079203,4.38417736012459,3.49699156246741,5.42790989265493,0.322147651006711,"ok",5,"Centro",18056,16778,1278,17283,977,50.594,356.9,5996,118.51,3.01133054,92.9220203810368,0.314413007001099,0.575230296827022,649,371,186,108,18334,589.978546234682,337.260463255882,169.084760554162,98.1782480637068,2.95281479378313,FALSE
"LAS CONDES","University",9,3.04825625983123,2.95250767417379,1.35007451689976,5.6047792557851,0.346153846153846,"ok",13,"RM",335296,335296,NA,117901,NA,99.17,3381,108594,1095.02,3.087624777,100,0.921060890068787,NA,902,606,236,162,338541,44.4062412922905,29.8339049036897,11.6184844179385,7.97540032078832,1.1145697090381,FALSE
